timestamp,source,book,sport,game_id,game_date,game_time,away_team,home_team,spread_line,spread_away_bets_pct,spread_home_bets_pct,spread_away_handle_pct,spread_home_handle_pct,total_line,total_over_bets_pct,total_under_bets_pct,total_over_handle_pct,total_under_handle_pct,ml_away_bets_pct,ml_home_bets_pct,ml_away_handle_pct,ml_home_handle_pct,spread_bets_handle_divergence,total_bets_handle_divergence,sharp_signal_spread,sharp_signal_total,scrape_num,d_spread_line,d_spread_away_bets_pct,d_spread_home_bets_pct,d_spread_away_handle_pct,d_spread_home_handle_pct,d_total_line,d_total_over_bets_pct,d_total_under_bets_pct,d_total_over_handle_pct,d_total_under_handle_pct,d_ml_away_bets_pct,d_ml_home_bets_pct
2026-08-08T16:51:12.339921-04:00,vsin_dk,draftkings,wnba,wnba_20260808_phoenix_mercury_washington_mystics,Aug 8,,Phoenix Mercury,Washington Mystics,-1.5,0.0,100.0,0.0,100.0,168.5,20.0,80.0,16.0,84.0,25.0,75.0,15.0,85.0,0.0,4.0,False,False,1,,,,,,,,,,,,
2026-08-08T16:51:12.339921-04:00,vsin_dk,draftkings,wnba,wnba_20260808_dallas_wings_minnesota_lynx,Aug 8,,Dallas Wings,Minnesota Lynx,,0.0,0.0,0.0,0.0,180.5,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,,,,,1,,,,,,,,,,,,
2026-08-08T16:51:12.339921-04:00,vsin_dk,draftkings,wnba,wnba_20260808_golden_state_valkyries_los_angeles_sparks,Aug 8,,Golden State Valkyries,Los Angeles Sparks,-5.5,60.0,40.0,5.0,95.0,169.5,0.0,100.0,0.0,100.0,85.0,15.0,7.0,93.0,55.0,,True,,1,,,,,,,,,,,,
2026-08-08T16:51:37.632892-04:00,vsin_circa,circa,wnba,wnba_20260808_las_vegas_aces_minnesota_lynx,Aug 8,,Las Vegas Aces,Minnesota Lynx,4.5,15.0,85.0,3.0,97.0,181.5,57.0,43.0,25.0,75.0,40.0,60.0,54.0,46.0,12.0,32.0,False,True,1,,,,,,,,,,,,
2026-08-08T16:51:37.632892-04:00,vsin_circa,circa,wnba,wnba_20260808_indiana_fever_chicago_sky,Aug 8,,Indiana Fever,Chicago Sky,-5.5,89.0,11.0,47.0,53.0,191.5,75.0,25.0,95.0,5.0,67.0,33.0,96.0,4.0,42.0,20.0,True,True,1,,,,,,,,,,,,
2026-08-08T16:51:37.632892-04:00,vsin_circa,circa,wnba,wnba_20260808_seattle_storm_portland_fire,Aug 8,,Seattle Storm,Portland Fire,-1.5,100.0,0.0,100.0,0.0,179.0,33.0,67.0,5.0,95.0,100.0,0.0,100.0,0.0,,28.0,,True,1,,,,,,,,,,,,
2026-08-08T18:51:05.775253-04:00,vsin_dk,draftkings,wnba,wnba_20260808_las_vegas_aces_minnesota_lynx,Aug 8,,Las Vegas Aces,Minnesota Lynx,4.5,51.0,49.0,38.0,62.0,182.5,51.0,49.0,95.0,5.0,21.0,79.0,48.0,52.0,13.0,44.0,False,True,1,,,,,,,,,,,,
2026-08-08T18:51:05.775253-04:00,vsin_dk,draftkings,wnba,wnba_20260808_indiana_fever_chicago_sky,Aug 8,,Indiana Fever,Chicago Sky,-6.5,67.0,33.0,56.0,44.0,192.5,45.0,55.0,96.0,4.0,95.0,5.0,96.0,4.0,11.0,51.0,False,True,1,,,,,,,,,,,,
2026-08-08T18:51:05.775253-04:00,vsin_dk,draftkings,wnba,wnba_20260808_seattle_storm_portland_fire,Aug 8,,Seattle Storm,Portland Fire,-1.5,43.0,57.0,87.0,13.0,180.5,52.0,48.0,78.0,22.0,30.0,70.0,41.0,59.0,44.0,26.0,True,True,1,,,,,,,,,,,,
2026-08-08T18:51:05.775253-04:00,vsin_dk,draftkings,wnba,wnba_20260808_las_vegas_aces_new_york_liberty,Aug 8,,Las Vegas Aces,New York Liberty,9.5,50.0,50.0,81.0,19.0,178.5,0.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,31.0,,True,,1,,,,,,,,,,,,
2026-08-08T18:51:05.775253-04:00,vsin_dk,draftkings,wnba,wnba_20260808_phoenix_mercury_washington_mystics,Aug 8,,Phoenix Mercury,Washington Mystics,1.5,0.0,100.0,0.0,100.0,167.5,20.0,80.0,16.0,84.0,22.0,78.0,14.0,86.0,0.0,4.0,False,False,1,,,,,,,,,,,,
2026-08-08T18:51:05.775253-04:00,vsin_dk,draftkings,wnba,wnba_20260808_dallas_wings_minnesota_lynx,Aug 8,,Dallas Wings,Minnesota Lynx,7.5,50.0,50.0,98.0,2.0,179.5,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,48.0,,True,,1,,,,,,,,,,,,
2026-08-08T18:51:05.775253-04:00,vsin_dk,draftkings,wnba,wnba_20260808_golden_state_valkyries_los_angeles_sparks,Aug 8,,Golden State Valkyries,Los Angeles Sparks,-5.5,57.0,43.0,35.0,65.0,169.5,0.0,100.0,0.0,100.0,88.0,13.0,9.0,91.0,22.0,,True,,1,,,,,,,,,,,,
2026-08-08T18:51:31.539035-04:00,vsin_circa,circa,wnba,wnba_20260808_las_vegas_aces_minnesota_lynx,Aug 8,,Las Vegas Aces,Minnesota Lynx,4.5,15.0,85.0,3.0,97.0,181.5,57.0,43.0,25.0,75.0,40.0,60.0,54.0,46.0,12.0,32.0,False,True,1,,,,,,,,,,,,
2026-08-08T18:51:31.539035-04:00,vsin_circa,circa,wnba,wnba_20260808_indiana_fever_chicago_sky,Aug 8,,Indiana Fever,Chicago Sky,-5.5,89.0,11.0,47.0,53.0,191.5,75.0,25.0,95.0,5.0,67.0,33.0,96.0,4.0,42.0,20.0,True,True,1,,,,,,,,,,,,
2026-08-08T18:51:31.539035-04:00,vsin_circa,circa,wnba,wnba_20260808_seattle_storm_portland_fire,Aug 8,,Seattle Storm,Portland Fire,-1.5,100.0,0.0,100.0,0.0,181.5,33.0,67.0,5.0,95.0,67.0,33.0,62.0,38.0,,28.0,,True,1,,,,,,,,,,,,
2026-08-08T23:15:25.291853-04:00,vsin_dk,draftkings,wnba,wnba_20260808_las_vegas_aces_minnesota_lynx,Aug 8,,Las Vegas Aces,Minnesota Lynx,4.5,51.0,49.0,38.0,62.0,182.5,51.0,49.0,95.0,5.0,21.0,79.0,48.0,52.0,13.0,44.0,False,True,1,,,,,,,,,,,,
2026-08-08T23:15:25.291853-04:00,vsin_dk,draftkings,wnba,wnba_20260808_indiana_fever_chicago_sky,Aug 8,,Indiana Fever,Chicago Sky,-6.5,67.0,33.0,56.0,44.0,192.5,45.0,55.0,96.0,4.0,95.0,5.0,96.0,4.0,11.0,51.0,False,True,1,,,,,,,,,,,,
2026-08-08T23:15:25.291853-04:00,vsin_dk,draftkings,wnba,wnba_20260808_seattle_storm_portland_fire,Aug 8,,Seattle Storm,Portland Fire,-1.5,42.0,58.0,76.0,24.0,180.5,46.0,54.0,64.0,36.0,30.0,70.0,41.0,59.0,34.0,18.0,True,True,1,,,,,,,,,,,,
2026-08-08T23:15:25.291853-04:00,vsin_dk,draftkings,wnba,wnba_20260808_las_vegas_aces_new_york_liberty,Aug 8,,Las Vegas Aces,New York Liberty,9.5,85.0,15.0,96.0,4.0,178.5,0.0,100.0,0.0,100.0,56.0,44.0,87.0,13.0,11.0,,False,,1,,,,,,,,,,,,
2026-08-08T23:15:25.291853-04:00,vsin_dk,draftkings,wnba,wnba_20260808_phoenix_mercury_washington_mystics,Aug 8,,Phoenix Mercury,Washington Mystics,1.5,33.0,67.0,81.0,19.0,167.5,33.0,67.0,17.0,83.0,47.0,53.0,22.0,78.0,48.0,16.0,True,True,1,,,,,,,,,,,,
2026-08-08T23:15:25.291853-04:00,vsin_dk,draftkings,wnba,wnba_20260808_dallas_wings_minnesota_lynx,Aug 8,,Dallas Wings,Minnesota Lynx,7.5,40.0,60.0,21.0,79.0,179.5,50.0,50.0,96.0,4.0,6.0,94.0,8.0,92.0,19.0,46.0,True,True,1,,,,,,,,,,,,
2026-08-08T23:15:25.291853-04:00,vsin_dk,draftkings,wnba,wnba_20260808_golden_state_valkyries_los_angeles_sparks,Aug 8,,Golden State Valkyries,Los Angeles Sparks,-5.5,63.0,38.0,64.0,36.0,169.5,0.0,100.0,0.0,100.0,83.0,17.0,33.0,67.0,2.0,,False,,1,,,,,,,,,,,,
2026-08-08T23:15:51.546594-04:00,vsin_circa,circa,wnba,wnba_20260808_las_vegas_aces_minnesota_lynx,Aug 8,,Las Vegas Aces,Minnesota Lynx,4.5,15.0,85.0,3.0,97.0,181.5,57.0,43.0,25.0,75.0,40.0,60.0,54.0,46.0,12.0,32.0,False,True,1,,,,,,,,,,,,
2026-08-08T23:15:51.546594-04:00,vsin_circa,circa,wnba,wnba_20260808_indiana_fever_chicago_sky,Aug 8,,Indiana Fever,Chicago Sky,-5.5,89.0,11.0,47.0,53.0,191.5,75.0,25.0,95.0,5.0,67.0,33.0,96.0,4.0,42.0,20.0,True,True,1,,,,,,,,,,,,
2026-08-08T23:15:51.546594-04:00,vsin_circa,circa,wnba,wnba_20260808_seattle_storm_portland_fire,Aug 8,,Seattle Storm,Portland Fire,-1.0,71.0,29.0,99.0,1.0,180.5,20.0,80.0,3.0,97.0,50.0,50.0,61.0,39.0,28.0,17.0,True,True,1,,,,,,,,,,,,
