timestamp,source,book,sport,game_id,game_date,game_time,away_team,home_team,spread_line,spread_away_bets_pct,spread_home_bets_pct,spread_away_handle_pct,spread_home_handle_pct,total_line,total_over_bets_pct,total_under_bets_pct,total_over_handle_pct,total_under_handle_pct,ml_away_bets_pct,ml_home_bets_pct,ml_away_handle_pct,ml_home_handle_pct,spread_bets_handle_divergence,total_bets_handle_divergence,sharp_signal_spread,sharp_signal_total,scrape_num,d_spread_line,d_spread_away_bets_pct,d_spread_home_bets_pct,d_spread_away_handle_pct,d_spread_home_handle_pct,d_total_line,d_total_over_bets_pct,d_total_under_bets_pct,d_total_over_handle_pct,d_total_under_handle_pct,d_ml_away_bets_pct,d_ml_home_bets_pct
2026-03-25T00:31:59.916959-04:00,vsin_dk,draftkings,cbb,cbb_20260402_stanford_west_virginia,Apr 2,,Stanford,West Virginia,-1.5,53.0,47.0,95.0,5.0,133.5,100.0,,100.0,,43.0,57.0,30.0,70.0,42.0,0.0,True,False,1,,,,,,,,,,,,
2026-03-25T00:31:59.916959-04:00,vsin_dk,draftkings,cbb,cbb_20260402_rutgers_creighton,Apr 2,,Rutgers,Creighton,2.5,18.0,83.0,2.0,98.0,148.5,92.0,8.0,98.0,2.0,44.0,56.0,96.0,4.0,15.0,6.0,True,False,1,,,,,,,,,,,,
2026-03-25T00:32:22.240674-04:00,vsin_circa,circa,cbb,cbb_20260324_wichita_st_tulsa,Mar 24,,Wichita ST,Tulsa,4.0,51.0,49.0,29.0,71.0,155.0,63.0,37.0,70.0,30.0,100.0,,100.0,,22.0,7.0,True,False,1,,,,,,,,,,,,
2026-03-25T00:32:22.240674-04:00,vsin_circa,circa,cbb,cbb_20260324_st_josephs_new_mexico,Mar 24,,ST Josephs,New Mexico,11.0,60.0,40.0,63.0,37.0,155.5,52.0,48.0,62.0,38.0,43.0,57.0,16.0,84.0,3.0,10.0,False,False,1,,,,,,,,,,,,
2026-03-25T00:32:22.240674-04:00,vsin_circa,circa,cbb,cbb_20260325_illinois_st_dayton,Mar 25,,Illinois ST,Dayton,7.5,50.0,50.0,81.0,19.0,139.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,31.0,0.0,True,False,1,,,,,,,,,,,,
2026-03-25T00:32:22.240674-04:00,vsin_circa,circa,cbb,cbb_20260325_nevada_auburn,Mar 25,,Nevada,Auburn,9.5,86.0,14.0,89.0,11.0,154.5,100.0,,100.0,,67.0,33.0,24.0,76.0,3.0,0.0,False,False,1,,,,,,,,,,,,
2026-03-25T00:32:22.240674-04:00,vsin_circa,circa,cbb,cbb_20260326_texas_purdue,Mar 26,,Texas,Purdue,7.0,47.0,53.0,59.0,41.0,149.0,57.0,43.0,24.0,76.0,22.0,78.0,2.0,98.0,12.0,33.0,False,True,1,,,,,,,,,,,,
2026-03-25T00:32:22.240674-04:00,vsin_circa,circa,cbb,cbb_20260326_iowa_nebraska,Mar 26,,Iowa,Nebraska,1.5,26.0,74.0,81.0,19.0,132.5,38.0,63.0,22.0,78.0,50.0,50.0,41.0,59.0,55.0,16.0,True,True,1,,,,,,,,,,,,
2026-03-25T00:32:22.240674-04:00,vsin_circa,circa,cbb,cbb_20260326_arkansas_arizona,Mar 26,,Arkansas,Arizona,7.5,62.0,38.0,63.0,37.0,166.0,89.0,11.0,76.0,24.0,50.0,50.0,1.0,99.0,1.0,13.0,False,False,1,,,,,,,,,,,,
2026-03-25T00:32:22.240674-04:00,vsin_circa,circa,cbb,cbb_20260326_illinois_houston,Mar 26,,Illinois,Houston,3.0,27.0,73.0,8.0,92.0,140.0,67.0,33.0,82.0,18.0,47.0,53.0,64.0,36.0,19.0,15.0,True,True,1,,,,,,,,,,,,
2026-03-25T00:32:22.240674-04:00,vsin_circa,circa,cbb,cbb_20260327_st_johns_duke,Mar 27,,ST Johns,Duke,7.0,79.0,21.0,55.0,45.0,142.0,,100.0,,100.0,50.0,50.0,95.0,5.0,24.0,,True,,1,,,,,,,,,,,,
2026-03-25T00:32:22.240674-04:00,vsin_circa,circa,cbb,cbb_20260327_alabama_michigan,Mar 27,,Alabama,Michigan,10.0,68.0,32.0,59.0,41.0,174.5,56.0,44.0,52.0,48.0,33.0,67.0,22.0,78.0,9.0,4.0,False,False,1,,,,,,,,,,,,
2026-03-25T00:32:22.240674-04:00,vsin_circa,circa,cbb,cbb_20260327_michigan_st_connecticut,Mar 27,,Michigan ST,Connecticut,1.5,47.0,53.0,24.0,76.0,136.0,67.0,33.0,91.0,9.0,53.0,47.0,91.0,9.0,23.0,24.0,True,True,1,,,,,,,,,,,,
2026-03-25T00:32:22.240674-04:00,vsin_circa,circa,cbb,cbb_20260327_tennessee_iowa_st,Mar 27,,Tennessee,Iowa ST,4.5,22.0,78.0,11.0,89.0,138.5,,100.0,,100.0,11.0,89.0,,100.0,11.0,,False,,1,,,,,,,,,,,,
2026-03-25T01:01:54.594109-04:00,vsin_dk,draftkings,cbb,cbb_20260324_wichita_st_tulsa,Mar 24,,Wichita ST,Tulsa,4.5,54.0,46.0,64.0,36.0,154.5,70.0,30.0,71.0,29.0,40.0,60.0,59.0,41.0,10.0,1.0,False,False,1,,,,,,,,,,,,
2026-03-25T01:01:54.594109-04:00,vsin_dk,draftkings,cbb,cbb_20260324_st_josephs_new_mexico,Mar 24,,ST Josephs,New Mexico,10.5,50.0,50.0,61.0,39.0,155.5,55.0,45.0,60.0,40.0,20.0,80.0,29.0,71.0,11.0,5.0,False,False,1,,,,,,,,,,,,
2026-03-25T01:01:54.594109-04:00,vsin_dk,draftkings,cbb,cbb_20260325_illinois_st_dayton,Mar 25,,Illinois ST,Dayton,7.5,40.0,60.0,36.0,64.0,139.5,77.0,23.0,61.0,39.0,10.0,90.0,18.0,82.0,4.0,16.0,False,True,1,,,,,,,,,,,,
2026-03-25T01:01:54.594109-04:00,vsin_dk,draftkings,cbb,cbb_20260325_nevada_auburn,Mar 25,,Nevada,Auburn,9.5,62.0,38.0,62.0,38.0,154.5,67.0,33.0,34.0,66.0,15.0,85.0,67.0,33.0,0.0,33.0,False,True,1,,,,,,,,,,,,
2026-03-25T01:01:54.594109-04:00,vsin_dk,draftkings,cbb,cbb_20260326_texas_purdue,Mar 26,,Texas,Purdue,7.5,46.0,54.0,33.0,67.0,148.5,76.0,24.0,66.0,34.0,24.0,76.0,44.0,56.0,13.0,10.0,False,False,1,,,,,,,,,,,,
2026-03-25T01:01:54.594109-04:00,vsin_dk,draftkings,cbb,cbb_20260326_iowa_nebraska,Mar 26,,Iowa,Nebraska,1.5,37.0,63.0,31.0,69.0,132.5,81.0,19.0,64.0,36.0,43.0,57.0,54.0,46.0,6.0,17.0,False,True,1,,,,,,,,,,,,
2026-03-25T01:01:54.594109-04:00,vsin_dk,draftkings,cbb,cbb_20260326_arkansas_arizona,Mar 26,,Arkansas,Arizona,7.5,59.0,41.0,57.0,43.0,166.5,53.0,47.0,76.0,24.0,27.0,73.0,69.0,31.0,2.0,23.0,False,True,1,,,,,,,,,,,,
2026-03-25T01:01:54.594109-04:00,vsin_dk,draftkings,cbb,cbb_20260326_illinois_houston,Mar 26,,Illinois,Houston,3.5,36.0,64.0,39.0,61.0,139.5,83.0,17.0,73.0,27.0,30.0,70.0,37.0,63.0,3.0,10.0,False,False,1,,,,,,,,,,,,
2026-03-25T01:01:54.594109-04:00,vsin_dk,draftkings,cbb,cbb_20260327_st_johns_duke,Mar 27,,ST Johns,Duke,6.5,63.0,37.0,70.0,30.0,141.5,72.0,28.0,60.0,40.0,33.0,67.0,67.0,33.0,7.0,12.0,False,False,1,,,,,,,,,,,,
2026-03-25T01:01:54.594109-04:00,vsin_dk,draftkings,cbb,cbb_20260327_alabama_michigan,Mar 27,,Alabama,Michigan,9.5,59.0,41.0,56.0,44.0,174.5,30.0,70.0,15.0,85.0,18.0,82.0,48.0,52.0,3.0,15.0,False,True,1,,,,,,,,,,,,
2026-03-25T01:01:54.594109-04:00,vsin_dk,draftkings,cbb,cbb_20260327_michigan_st_connecticut,Mar 27,,Michigan ST,Connecticut,1.5,54.0,46.0,50.0,50.0,135.5,70.0,30.0,29.0,71.0,52.0,48.0,63.0,37.0,4.0,41.0,False,True,1,,,,,,,,,,,,
2026-03-25T01:01:54.594109-04:00,vsin_dk,draftkings,cbb,cbb_20260327_tennessee_iowa_st,Mar 27,,Tennessee,Iowa ST,4.5,37.0,63.0,38.0,62.0,138.5,85.0,15.0,85.0,15.0,25.0,75.0,55.0,45.0,1.0,0.0,False,False,1,,,,,,,,,,,,
2026-03-25T01:01:54.594109-04:00,vsin_dk,draftkings,cbb,cbb_20260401_oklahoma_colorado,Apr 1,,Oklahoma,Colorado,-5.5,84.0,16.0,99.0,1.0,162.5,92.0,8.0,92.0,8.0,81.0,19.0,62.0,38.0,15.0,0.0,True,False,1,,,,,,,,,,,,
2026-03-25T01:01:54.594109-04:00,vsin_dk,draftkings,cbb,cbb_20260401_baylor_minnesota,Apr 1,,Baylor,Minnesota,-3.5,72.0,28.0,85.0,15.0,146.5,58.0,42.0,55.0,45.0,,,,,13.0,3.0,False,False,1,,,,,,,,,,,,
2026-03-25T01:01:54.594109-04:00,vsin_dk,draftkings,cbb,cbb_20260402_stanford_west_virginia,Apr 2,,Stanford,West Virginia,-1.5,53.0,47.0,95.0,5.0,133.5,100.0,,100.0,,45.0,55.0,30.0,70.0,42.0,0.0,True,False,1,,,,,,,,,,,,
2026-03-25T01:01:54.594109-04:00,vsin_dk,draftkings,cbb,cbb_20260402_rutgers_creighton,Apr 2,,Rutgers,Creighton,2.5,18.0,83.0,2.0,98.0,148.5,92.0,8.0,98.0,2.0,41.0,59.0,96.0,4.0,15.0,6.0,True,False,1,,,,,,,,,,,,
2026-03-25T01:02:14.894704-04:00,vsin_circa,circa,cbb,cbb_20260324_wichita_st_tulsa,Mar 24,,Wichita ST,Tulsa,4.0,51.0,49.0,29.0,71.0,155.0,63.0,37.0,70.0,30.0,100.0,,100.0,,22.0,7.0,True,False,1,,,,,,,,,,,,
2026-03-25T01:02:14.894704-04:00,vsin_circa,circa,cbb,cbb_20260324_st_josephs_new_mexico,Mar 24,,ST Josephs,New Mexico,11.0,60.0,40.0,63.0,37.0,155.5,52.0,48.0,62.0,38.0,43.0,57.0,16.0,84.0,3.0,10.0,False,False,1,,,,,,,,,,,,
2026-03-25T01:02:14.894704-04:00,vsin_circa,circa,cbb,cbb_20260325_illinois_st_dayton,Mar 25,,Illinois ST,Dayton,7.5,33.0,67.0,40.0,60.0,139.0,,100.0,,100.0,50.0,50.0,50.0,50.0,7.0,,False,,1,,,,,,,,,,,,
2026-03-25T01:02:14.894704-04:00,vsin_circa,circa,cbb,cbb_20260325_nevada_auburn,Mar 25,,Nevada,Auburn,9.5,88.0,13.0,90.0,10.0,154.5,67.0,33.0,29.0,71.0,67.0,33.0,24.0,76.0,3.0,38.0,False,True,1,,,,,,,,,,,,
2026-03-25T01:02:14.894704-04:00,vsin_circa,circa,cbb,cbb_20260326_texas_purdue,Mar 26,,Texas,Purdue,7.0,47.0,53.0,59.0,41.0,149.0,57.0,43.0,24.0,76.0,22.0,78.0,2.0,98.0,12.0,33.0,False,True,1,,,,,,,,,,,,
2026-03-25T01:02:14.894704-04:00,vsin_circa,circa,cbb,cbb_20260326_iowa_nebraska,Mar 26,,Iowa,Nebraska,1.5,26.0,74.0,81.0,19.0,132.5,38.0,63.0,22.0,78.0,50.0,50.0,41.0,59.0,55.0,16.0,True,True,1,,,,,,,,,,,,
2026-03-25T01:02:14.894704-04:00,vsin_circa,circa,cbb,cbb_20260326_arkansas_arizona,Mar 26,,Arkansas,Arizona,7.5,62.0,38.0,63.0,37.0,166.0,89.0,11.0,76.0,24.0,50.0,50.0,1.0,99.0,1.0,13.0,False,False,1,,,,,,,,,,,,
2026-03-25T01:02:14.894704-04:00,vsin_circa,circa,cbb,cbb_20260326_illinois_houston,Mar 26,,Illinois,Houston,3.0,27.0,73.0,8.0,92.0,140.0,67.0,33.0,82.0,18.0,47.0,53.0,64.0,36.0,19.0,15.0,True,True,1,,,,,,,,,,,,
2026-03-25T01:02:14.894704-04:00,vsin_circa,circa,cbb,cbb_20260327_st_johns_duke,Mar 27,,ST Johns,Duke,7.0,80.0,20.0,57.0,43.0,142.0,,100.0,,100.0,50.0,50.0,95.0,5.0,23.0,,True,,1,,,,,,,,,,,,
2026-03-25T01:02:14.894704-04:00,vsin_circa,circa,cbb,cbb_20260327_alabama_michigan,Mar 27,,Alabama,Michigan,10.0,68.0,32.0,59.0,41.0,174.5,56.0,44.0,52.0,48.0,33.0,67.0,22.0,78.0,9.0,4.0,False,False,1,,,,,,,,,,,,
2026-03-25T01:02:14.894704-04:00,vsin_circa,circa,cbb,cbb_20260327_michigan_st_connecticut,Mar 27,,Michigan ST,Connecticut,1.5,47.0,53.0,24.0,76.0,136.0,67.0,33.0,91.0,9.0,53.0,47.0,91.0,9.0,23.0,24.0,True,True,1,,,,,,,,,,,,
2026-03-25T01:02:14.894704-04:00,vsin_circa,circa,cbb,cbb_20260327_tennessee_iowa_st,Mar 27,,Tennessee,Iowa ST,4.5,21.0,79.0,11.0,89.0,138.5,,100.0,,100.0,11.0,89.0,,100.0,10.0,,False,,1,,,,,,,,,,,,
2026-03-25T01:20:32.837922-04:00,vsin_dk,draftkings,cbb,cbb_20260324_wichita_st_tulsa,Mar 24,,Wichita ST,Tulsa,4.5,54.0,46.0,64.0,36.0,154.5,70.0,30.0,71.0,29.0,40.0,60.0,59.0,41.0,10.0,1.0,False,False,1,,,,,,,,,,,,
2026-03-25T01:20:32.837922-04:00,vsin_dk,draftkings,cbb,cbb_20260324_st_josephs_new_mexico,Mar 24,,ST Josephs,New Mexico,10.5,50.0,50.0,61.0,39.0,155.5,55.0,45.0,60.0,40.0,20.0,80.0,29.0,71.0,11.0,5.0,False,False,1,,,,,,,,,,,,
2026-03-25T01:20:32.837922-04:00,vsin_dk,draftkings,cbb,cbb_20260325_illinois_st_dayton,Mar 25,,Illinois ST,Dayton,7.5,39.0,61.0,36.0,64.0,139.5,77.0,23.0,61.0,39.0,10.0,90.0,18.0,82.0,3.0,16.0,False,True,1,,,,,,,,,,,,
2026-03-25T01:20:32.837922-04:00,vsin_dk,draftkings,cbb,cbb_20260325_nevada_auburn,Mar 25,,Nevada,Auburn,9.5,62.0,38.0,62.0,38.0,154.5,67.0,33.0,34.0,66.0,15.0,85.0,67.0,33.0,0.0,33.0,False,True,1,,,,,,,,,,,,
2026-03-25T01:20:32.837922-04:00,vsin_dk,draftkings,cbb,cbb_20260326_texas_purdue,Mar 26,,Texas,Purdue,7.5,46.0,54.0,33.0,67.0,148.5,76.0,24.0,66.0,34.0,24.0,76.0,44.0,56.0,13.0,10.0,False,False,1,,,,,,,,,,,,
2026-03-25T01:20:32.837922-04:00,vsin_dk,draftkings,cbb,cbb_20260326_iowa_nebraska,Mar 26,,Iowa,Nebraska,1.5,37.0,63.0,31.0,69.0,132.5,81.0,19.0,64.0,36.0,43.0,57.0,54.0,46.0,6.0,17.0,False,True,1,,,,,,,,,,,,
2026-03-25T01:20:32.837922-04:00,vsin_dk,draftkings,cbb,cbb_20260326_arkansas_arizona,Mar 26,,Arkansas,Arizona,7.5,59.0,41.0,57.0,43.0,166.5,53.0,47.0,76.0,24.0,27.0,73.0,69.0,31.0,2.0,23.0,False,True,1,,,,,,,,,,,,
2026-03-25T01:20:32.837922-04:00,vsin_dk,draftkings,cbb,cbb_20260326_illinois_houston,Mar 26,,Illinois,Houston,3.5,36.0,64.0,39.0,61.0,139.5,83.0,17.0,73.0,27.0,30.0,70.0,37.0,63.0,3.0,10.0,False,False,1,,,,,,,,,,,,
2026-03-25T01:20:32.837922-04:00,vsin_dk,draftkings,cbb,cbb_20260327_st_johns_duke,Mar 27,,ST Johns,Duke,6.5,63.0,37.0,70.0,30.0,141.5,72.0,28.0,60.0,40.0,33.0,67.0,67.0,33.0,7.0,12.0,False,False,1,,,,,,,,,,,,
2026-03-25T01:20:32.837922-04:00,vsin_dk,draftkings,cbb,cbb_20260327_alabama_michigan,Mar 27,,Alabama,Michigan,9.5,59.0,41.0,56.0,44.0,174.5,30.0,70.0,15.0,85.0,18.0,82.0,48.0,52.0,3.0,15.0,False,True,1,,,,,,,,,,,,
2026-03-25T01:20:32.837922-04:00,vsin_dk,draftkings,cbb,cbb_20260327_michigan_st_connecticut,Mar 27,,Michigan ST,Connecticut,1.5,54.0,46.0,50.0,50.0,135.5,70.0,30.0,29.0,71.0,52.0,48.0,63.0,37.0,4.0,41.0,False,True,1,,,,,,,,,,,,
2026-03-25T01:20:32.837922-04:00,vsin_dk,draftkings,cbb,cbb_20260327_tennessee_iowa_st,Mar 27,,Tennessee,Iowa ST,4.5,37.0,63.0,38.0,62.0,138.5,85.0,15.0,85.0,15.0,25.0,75.0,55.0,45.0,1.0,0.0,False,False,1,,,,,,,,,,,,
2026-03-25T01:20:32.837922-04:00,vsin_dk,draftkings,cbb,cbb_20260401_oklahoma_colorado,Apr 1,,Oklahoma,Colorado,-5.5,84.0,16.0,99.0,1.0,162.5,92.0,8.0,92.0,8.0,81.0,19.0,62.0,38.0,15.0,0.0,True,False,1,,,,,,,,,,,,
2026-03-25T01:20:32.837922-04:00,vsin_dk,draftkings,cbb,cbb_20260401_baylor_minnesota,Apr 1,,Baylor,Minnesota,-3.5,72.0,28.0,85.0,15.0,146.5,58.0,42.0,55.0,45.0,,,,,13.0,3.0,False,False,1,,,,,,,,,,,,
2026-03-25T01:20:32.837922-04:00,vsin_dk,draftkings,cbb,cbb_20260402_stanford_west_virginia,Apr 2,,Stanford,West Virginia,-1.5,53.0,47.0,95.0,5.0,133.5,100.0,,100.0,,45.0,55.0,30.0,70.0,42.0,0.0,True,False,1,,,,,,,,,,,,
2026-03-25T01:20:32.837922-04:00,vsin_dk,draftkings,cbb,cbb_20260402_rutgers_creighton,Apr 2,,Rutgers,Creighton,2.5,18.0,83.0,2.0,98.0,148.5,92.0,8.0,98.0,2.0,41.0,59.0,96.0,4.0,15.0,6.0,True,False,1,,,,,,,,,,,,
2026-03-25T01:20:52.383969-04:00,vsin_circa,circa,cbb,cbb_20260324_wichita_st_tulsa,Mar 24,,Wichita ST,Tulsa,4.0,51.0,49.0,29.0,71.0,155.0,63.0,37.0,70.0,30.0,100.0,,100.0,,22.0,7.0,True,False,1,,,,,,,,,,,,
2026-03-25T01:20:52.383969-04:00,vsin_circa,circa,cbb,cbb_20260324_st_josephs_new_mexico,Mar 24,,ST Josephs,New Mexico,11.0,60.0,40.0,63.0,37.0,155.5,52.0,48.0,62.0,38.0,43.0,57.0,16.0,84.0,3.0,10.0,False,False,1,,,,,,,,,,,,
2026-03-25T01:20:52.383969-04:00,vsin_circa,circa,cbb,cbb_20260325_illinois_st_dayton,Mar 25,,Illinois ST,Dayton,7.5,33.0,67.0,40.0,60.0,137.5,33.0,67.0,13.0,87.0,100.0,,100.0,,7.0,20.0,False,True,1,,,,,,,,,,,,
2026-03-25T01:20:52.383969-04:00,vsin_circa,circa,cbb,cbb_20260325_nevada_auburn,Mar 25,,Nevada,Auburn,9.5,78.0,22.0,77.0,23.0,154.5,67.0,33.0,29.0,71.0,67.0,33.0,24.0,76.0,1.0,38.0,False,True,1,,,,,,,,,,,,
2026-03-25T01:20:52.383969-04:00,vsin_circa,circa,cbb,cbb_20260326_texas_purdue,Mar 26,,Texas,Purdue,7.0,47.0,53.0,59.0,41.0,149.0,57.0,43.0,24.0,76.0,22.0,78.0,2.0,98.0,12.0,33.0,False,True,1,,,,,,,,,,,,
2026-03-25T01:20:52.383969-04:00,vsin_circa,circa,cbb,cbb_20260326_iowa_nebraska,Mar 26,,Iowa,Nebraska,1.5,26.0,74.0,81.0,19.0,132.5,38.0,63.0,22.0,78.0,50.0,50.0,41.0,59.0,55.0,16.0,True,True,1,,,,,,,,,,,,
2026-03-25T01:20:52.383969-04:00,vsin_circa,circa,cbb,cbb_20260326_arkansas_arizona,Mar 26,,Arkansas,Arizona,7.5,60.0,40.0,63.0,37.0,166.0,89.0,11.0,76.0,24.0,50.0,50.0,1.0,99.0,3.0,13.0,False,False,1,,,,,,,,,,,,
2026-03-25T01:20:52.383969-04:00,vsin_circa,circa,cbb,cbb_20260326_illinois_houston,Mar 26,,Illinois,Houston,3.0,27.0,73.0,8.0,92.0,140.0,67.0,33.0,82.0,18.0,50.0,50.0,64.0,36.0,19.0,15.0,True,True,1,,,,,,,,,,,,
2026-03-25T01:20:52.383969-04:00,vsin_circa,circa,cbb,cbb_20260327_st_johns_duke,Mar 27,,ST Johns,Duke,7.0,80.0,20.0,57.0,43.0,142.0,,100.0,,100.0,50.0,50.0,95.0,5.0,23.0,,True,,1,,,,,,,,,,,,
2026-03-25T01:20:52.383969-04:00,vsin_circa,circa,cbb,cbb_20260327_alabama_michigan,Mar 27,,Alabama,Michigan,10.0,68.0,32.0,59.0,41.0,174.5,56.0,44.0,52.0,48.0,33.0,67.0,22.0,78.0,9.0,4.0,False,False,1,,,,,,,,,,,,
2026-03-25T01:20:52.383969-04:00,vsin_circa,circa,cbb,cbb_20260327_michigan_st_connecticut,Mar 27,,Michigan ST,Connecticut,1.5,47.0,53.0,24.0,76.0,136.0,67.0,33.0,91.0,9.0,53.0,47.0,91.0,9.0,23.0,24.0,True,True,1,,,,,,,,,,,,
2026-03-25T01:20:52.383969-04:00,vsin_circa,circa,cbb,cbb_20260327_tennessee_iowa_st,Mar 27,,Tennessee,Iowa ST,4.5,21.0,79.0,11.0,89.0,138.5,,100.0,,100.0,11.0,89.0,,100.0,10.0,,False,,1,,,,,,,,,,,,
2026-03-25T01:31:49.936943-04:00,vsin_dk,draftkings,cbb,cbb_20260324_wichita_st_tulsa,Mar 24,,Wichita ST,Tulsa,4.5,54.0,46.0,64.0,36.0,154.5,70.0,30.0,71.0,29.0,40.0,60.0,59.0,41.0,10.0,1.0,False,False,1,,,,,,,,,,,,
2026-03-25T01:31:49.936943-04:00,vsin_dk,draftkings,cbb,cbb_20260324_st_josephs_new_mexico,Mar 24,,ST Josephs,New Mexico,10.5,50.0,50.0,61.0,39.0,155.5,55.0,45.0,60.0,40.0,20.0,80.0,29.0,71.0,11.0,5.0,False,False,1,,,,,,,,,,,,
2026-03-25T01:31:49.936943-04:00,vsin_dk,draftkings,cbb,cbb_20260325_illinois_st_dayton,Mar 25,,Illinois ST,Dayton,7.5,39.0,61.0,36.0,64.0,139.5,77.0,23.0,61.0,39.0,10.0,90.0,18.0,82.0,3.0,16.0,False,True,1,,,,,,,,,,,,
