timestamp,source,book,sport,game_id,game_date,game_time,away_team,home_team,spread_line,spread_away_bets_pct,spread_home_bets_pct,spread_away_handle_pct,spread_home_handle_pct,total_line,total_over_bets_pct,total_under_bets_pct,total_over_handle_pct,total_under_handle_pct,ml_away_bets_pct,ml_home_bets_pct,ml_away_handle_pct,ml_home_handle_pct,spread_bets_handle_divergence,total_bets_handle_divergence,sharp_signal_spread,sharp_signal_total,scrape_num,d_spread_line,d_spread_away_bets_pct,d_spread_home_bets_pct,d_spread_away_handle_pct,d_spread_home_handle_pct,d_total_line,d_total_over_bets_pct,d_total_under_bets_pct,d_total_over_handle_pct,d_total_under_handle_pct,d_ml_away_bets_pct,d_ml_home_bets_pct
2026-08-15T12:03:26.535858-04:00,vsin_circa,circa,cbase,cbase_20260815_saskatchewan_roughriders_hamilton_tigercats,Aug 15,,Saskatchewan Roughriders,Hamilton Tiger-Cats,-7.5,0.0,100.0,0.0,100.0,55.5,50.0,50.0,6.0,94.0,0.0,100.0,0.0,100.0,0.0,44.0,False,True,1,,,,,,,,,,,,
2026-08-15T12:40:20.938331-04:00,vsin_dk,draftkings,cbase,cbase_20260815_carolina_panthers_buffalo_bills,Aug 15,,Carolina Panthers,Buffalo Bills,3.0,29.0,71.0,16.0,84.0,38.5,61.0,39.0,88.0,12.0,21.0,79.0,26.0,74.0,13.0,27.0,False,True,1,,,,,,,,,,,,
2026-08-15T12:40:20.938331-04:00,vsin_dk,draftkings,cbase,cbase_20260815_minnesota_vikings_new_york_giants,Aug 15,,Minnesota Vikings,New York Giants,-1.5,37.0,63.0,37.0,63.0,41.5,39.0,61.0,15.0,85.0,41.0,59.0,29.0,71.0,0.0,24.0,False,True,1,,,,,,,,,,,,
2026-08-15T12:40:20.938331-04:00,vsin_dk,draftkings,cbase,cbase_20260815_cleveland_browns_chicago_bears,Aug 15,,Cleveland Browns,Chicago Bears,-2.5,34.0,66.0,74.0,26.0,39.5,44.0,56.0,57.0,43.0,51.0,49.0,45.0,55.0,40.0,13.0,True,False,1,,,,,,,,,,,,
2026-08-15T12:40:20.938331-04:00,vsin_dk,draftkings,cbase,cbase_20260815_los_angeles_rams_kansas_city_chiefs,Aug 15,,Los Angeles Rams,Kansas City Chiefs,2.5,65.0,35.0,53.0,47.0,35.5,63.0,37.0,38.0,62.0,51.0,49.0,64.0,36.0,12.0,25.0,False,True,1,,,,,,,,,,,,
2026-08-15T12:40:20.938331-04:00,vsin_dk,draftkings,cbase,cbase_20260815_jacksonville_jaguars_new_orleans_saints,Aug 15,,Jacksonville Jaguars,New Orleans Saints,2.5,65.0,35.0,31.0,69.0,34.5,49.0,51.0,34.0,66.0,54.0,46.0,12.0,88.0,34.0,15.0,True,True,1,,,,,,,,,,,,
2026-08-15T12:40:20.938331-04:00,vsin_dk,draftkings,cbase,cbase_20260815_philadelphia_eagles_baltimore_ravens,Aug 15,,Philadelphia Eagles,Baltimore Ravens,-3.5,30.0,70.0,47.0,53.0,36.5,56.0,44.0,54.0,46.0,63.0,37.0,32.0,68.0,17.0,2.0,True,False,1,,,,,,,,,,,,
2026-08-15T12:40:20.938331-04:00,vsin_dk,draftkings,cbase,cbase_20260815_dallas_cowboys_seattle_seahawks,Aug 15,,Dallas Cowboys,Seattle Seahawks,2.5,56.0,44.0,21.0,79.0,36.5,54.0,46.0,92.0,8.0,33.0,67.0,27.0,73.0,35.0,38.0,True,True,1,,,,,,,,,,,,
2026-08-15T12:40:20.938331-04:00,vsin_dk,draftkings,cbase,cbase_20260815_toronto_argonauts_edmonton_elks,Aug 15,,Toronto Argonauts,Edmonton Elks,3.5,41.0,59.0,4.0,96.0,62.5,60.0,40.0,92.0,8.0,27.0,73.0,59.0,41.0,37.0,32.0,True,True,1,,,,,,,,,,,,
2026-08-15T12:40:20.938331-04:00,vsin_dk,draftkings,cbase,cbase_20260815_saskatchewan_roughriders_hamilton_tigercats,Aug 15,,Saskatchewan Roughriders,Hamilton Tiger-Cats,-7.0,71.0,29.0,61.0,39.0,55.5,71.0,29.0,74.0,26.0,97.0,3.0,87.0,13.0,10.0,3.0,False,False,1,,,,,,,,,,,,
2026-08-15T12:41:07.015536-04:00,vsin_circa,circa,cbase,cbase_20260815_toronto_argonauts_edmonton_elks,Aug 15,,Toronto Argonauts,Edmonton Elks,3.0,33.0,67.0,11.0,89.0,62.5,50.0,50.0,50.0,50.0,100.0,0.0,100.0,0.0,22.0,0.0,True,False,1,,,,,,,,,,,,
2026-08-15T12:41:07.015536-04:00,vsin_circa,circa,cbase,cbase_20260815_saskatchewan_roughriders_hamilton_tigercats,Aug 15,,Saskatchewan Roughriders,Hamilton Tiger-Cats,-7.5,0.0,100.0,0.0,100.0,55.5,50.0,50.0,6.0,94.0,0.0,100.0,0.0,100.0,0.0,44.0,False,True,1,,,,,,,,,,,,
2026-08-15T16:01:53.055463-04:00,vsin_dk,draftkings,cbase,cbase_20260815_carolina_panthers_buffalo_bills,Aug 15,,Carolina Panthers,Buffalo Bills,2.5,27.0,73.0,58.0,42.0,38.5,61.0,39.0,88.0,12.0,21.0,79.0,24.0,76.0,31.0,27.0,True,True,1,,,,,,,,,,,,
2026-08-15T16:01:53.055463-04:00,vsin_dk,draftkings,cbase,cbase_20260815_minnesota_vikings_new_york_giants,Aug 15,,Minnesota Vikings,New York Giants,-1.5,37.0,63.0,36.0,64.0,41.5,39.0,61.0,20.0,80.0,40.0,60.0,25.0,75.0,1.0,19.0,False,True,1,,,,,,,,,,,,
2026-08-15T16:01:53.055463-04:00,vsin_dk,draftkings,cbase,cbase_20260815_cleveland_browns_chicago_bears,Aug 15,,Cleveland Browns,Chicago Bears,-3.0,36.0,64.0,16.0,84.0,39.5,45.0,55.0,30.0,70.0,51.0,49.0,30.0,70.0,20.0,15.0,True,True,1,,,,,,,,,,,,
2026-08-15T16:01:53.055463-04:00,vsin_dk,draftkings,cbase,cbase_20260815_los_angeles_rams_kansas_city_chiefs,Aug 15,,Los Angeles Rams,Kansas City Chiefs,1.5,63.0,37.0,67.0,33.0,36.5,59.0,41.0,50.0,50.0,51.0,49.0,57.0,43.0,4.0,9.0,False,False,1,,,,,,,,,,,,
2026-08-15T16:01:53.055463-04:00,vsin_dk,draftkings,cbase,cbase_20260815_jacksonville_jaguars_new_orleans_saints,Aug 15,,Jacksonville Jaguars,New Orleans Saints,3.0,62.0,38.0,38.0,62.0,36.5,46.0,54.0,86.0,14.0,51.0,49.0,15.0,85.0,24.0,40.0,True,True,1,,,,,,,,,,,,
2026-08-15T16:01:53.055463-04:00,vsin_dk,draftkings,cbase,cbase_20260815_philadelphia_eagles_baltimore_ravens,Aug 15,,Philadelphia Eagles,Baltimore Ravens,-3.5,31.0,69.0,45.0,55.0,36.5,51.0,49.0,59.0,41.0,63.0,37.0,38.0,62.0,14.0,8.0,False,False,1,,,,,,,,,,,,
2026-08-15T16:01:53.055463-04:00,vsin_dk,draftkings,cbase,cbase_20260815_dallas_cowboys_seattle_seahawks,Aug 15,,Dallas Cowboys,Seattle Seahawks,3.0,57.0,43.0,20.0,80.0,36.5,52.0,48.0,92.0,8.0,34.0,66.0,33.0,67.0,37.0,40.0,True,True,1,,,,,,,,,,,,
2026-08-15T16:01:53.055463-04:00,vsin_dk,draftkings,cbase,cbase_20260815_toronto_argonauts_edmonton_elks,Aug 15,,Toronto Argonauts,Edmonton Elks,3.5,43.0,57.0,20.0,80.0,62.5,63.0,37.0,91.0,9.0,28.0,72.0,20.0,80.0,23.0,28.0,True,True,1,,,,,,,,,,,,
2026-08-15T16:01:53.055463-04:00,vsin_dk,draftkings,cbase,cbase_20260815_saskatchewan_roughriders_hamilton_tigercats,Aug 15,,Saskatchewan Roughriders,Hamilton Tiger-Cats,-7.0,70.0,30.0,55.0,45.0,55.5,58.0,42.0,70.0,30.0,97.0,3.0,88.0,12.0,15.0,12.0,True,False,1,,,,,,,,,,,,
2026-08-15T16:02:35.260087-04:00,vsin_circa,circa,cbase,cbase_20260815_toronto_argonauts_edmonton_elks,Aug 15,,Toronto Argonauts,Edmonton Elks,3.5,57.0,43.0,17.0,83.0,62.5,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,40.0,0.0,True,False,1,,,,,,,,,,,,
2026-08-15T16:02:35.260087-04:00,vsin_circa,circa,cbase,cbase_20260815_saskatchewan_roughriders_hamilton_tigercats,Aug 15,,Saskatchewan Roughriders,Hamilton Tiger-Cats,-7.5,0.0,100.0,0.0,100.0,55.5,50.0,50.0,6.0,94.0,0.0,100.0,0.0,100.0,0.0,44.0,False,True,1,,,,,,,,,,,,
