timestamp,source,book,sport,game_id,game_date,game_time,away_team,home_team,spread_line,spread_away_bets_pct,spread_home_bets_pct,spread_away_handle_pct,spread_home_handle_pct,total_line,total_over_bets_pct,total_under_bets_pct,total_over_handle_pct,total_under_handle_pct,ml_away_bets_pct,ml_home_bets_pct,ml_away_handle_pct,ml_home_handle_pct,spread_bets_handle_divergence,total_bets_handle_divergence,sharp_signal_spread,sharp_signal_total,scrape_num,d_spread_line,d_spread_away_bets_pct,d_spread_home_bets_pct,d_spread_away_handle_pct,d_spread_home_handle_pct,d_total_line,d_total_over_bets_pct,d_total_under_bets_pct,d_total_over_handle_pct,d_total_under_handle_pct,d_ml_away_bets_pct,d_ml_home_bets_pct
2026-03-26T00:01:47.480477-04:00,vsin_dk,draftkings,cbb,cbb_20260401_oklahoma_colorado,Apr 1,,Oklahoma,Colorado,-6.5,84.0,16.0,85.0,15.0,163.5,76.0,24.0,92.0,8.0,83.0,17.0,16.0,84.0,1.0,16.0,False,True,1,,,,,,,,,,,,
2026-03-26T00:01:47.480477-04:00,vsin_dk,draftkings,cbb,cbb_20260401_baylor_minnesota,Apr 1,,Baylor,Minnesota,-3.5,76.0,24.0,95.0,5.0,148.5,44.0,56.0,52.0,48.0,,,,,19.0,8.0,True,False,1,,,,,,,,,,,,
2026-03-26T00:01:47.480477-04:00,vsin_dk,draftkings,cbb,cbb_20260402_stanford_west_virginia,Apr 2,,Stanford,West Virginia,-1.5,42.0,58.0,65.0,35.0,134.5,96.0,4.0,100.0,,41.0,59.0,26.0,74.0,23.0,4.0,True,False,1,,,,,,,,,,,,
2026-03-26T00:01:47.480477-04:00,vsin_dk,draftkings,cbb,cbb_20260402_rutgers_creighton,Apr 2,,Rutgers,Creighton,3.5,20.0,80.0,20.0,80.0,150.5,89.0,11.0,98.0,2.0,50.0,50.0,98.0,2.0,0.0,9.0,False,False,1,,,,,,,,,,,,
2026-03-26T00:02:07.223185-04:00,vsin_circa,circa,cbb,cbb_20260325_illinois_st_dayton,Mar 25,,Illinois ST,Dayton,7.5,45.0,55.0,70.0,30.0,141.0,39.0,61.0,47.0,53.0,50.0,50.0,17.0,83.0,25.0,8.0,True,False,1,,,,,,,,,,,,
2026-03-26T00:02:07.223185-04:00,vsin_circa,circa,cbb,cbb_20260325_nevada_auburn,Mar 25,,Nevada,Auburn,8.5,74.0,26.0,69.0,31.0,151.5,74.0,26.0,40.0,60.0,64.0,36.0,9.0,91.0,5.0,34.0,False,True,1,,,,,,,,,,,,
2026-03-26T00:02:07.223185-04:00,vsin_circa,circa,cbb,cbb_20260326_texas_purdue,Mar 26,,Texas,Purdue,7.5,47.0,53.0,39.0,61.0,148.0,45.0,55.0,13.0,87.0,42.0,58.0,6.0,94.0,8.0,32.0,False,True,1,,,,,,,,,,,,
2026-03-26T00:02:07.223185-04:00,vsin_circa,circa,cbb,cbb_20260326_iowa_nebraska,Mar 26,,Iowa,Nebraska,1.5,25.0,75.0,75.0,25.0,131.5,44.0,56.0,23.0,77.0,50.0,50.0,61.0,39.0,50.0,21.0,True,True,1,,,,,,,,,,,,
2026-03-26T00:02:07.223185-04:00,vsin_circa,circa,cbb,cbb_20260326_arkansas_arizona,Mar 26,,Arkansas,Arizona,7.5,54.0,46.0,56.0,44.0,166.0,90.0,10.0,76.0,24.0,57.0,43.0,2.0,98.0,2.0,14.0,False,False,1,,,,,,,,,,,,
2026-03-26T00:02:07.223185-04:00,vsin_circa,circa,cbb,cbb_20260326_illinois_houston,Mar 26,,Illinois,Houston,2.5,32.0,68.0,39.0,61.0,140.0,83.0,17.0,96.0,4.0,52.0,48.0,61.0,39.0,7.0,13.0,False,False,1,,,,,,,,,,,,
2026-03-26T00:02:07.223185-04:00,vsin_circa,circa,cbb,cbb_20260327_st_johns_duke,Mar 27,,ST Johns,Duke,7.0,81.0,19.0,61.0,39.0,141.0,20.0,80.0,1.0,99.0,50.0,50.0,95.0,5.0,20.0,19.0,True,True,1,,,,,,,,,,,,
2026-03-26T00:02:07.223185-04:00,vsin_circa,circa,cbb,cbb_20260327_alabama_michigan,Mar 27,,Alabama,Michigan,9.0,63.0,37.0,82.0,18.0,172.5,36.0,64.0,24.0,76.0,27.0,73.0,19.0,81.0,19.0,12.0,True,False,1,,,,,,,,,,,,
2026-03-26T00:02:07.223185-04:00,vsin_circa,circa,cbb,cbb_20260327_michigan_st_connecticut,Mar 27,,Michigan ST,Connecticut,1.5,48.0,52.0,17.0,83.0,134.5,50.0,50.0,10.0,90.0,50.0,50.0,89.0,11.0,31.0,40.0,True,True,1,,,,,,,,,,,,
2026-03-26T00:02:07.223185-04:00,vsin_circa,circa,cbb,cbb_20260327_tennessee_iowa_st,Mar 27,,Tennessee,Iowa ST,4.0,23.0,77.0,30.0,70.0,138.5,50.0,50.0,29.0,71.0,13.0,88.0,,100.0,7.0,21.0,False,True,1,,,,,,,,,,,,
2026-03-26T00:31:54.519304-04:00,vsin_dk,draftkings,cbb,cbb_20260325_illinois_st_dayton,Mar 25,,Illinois ST,Dayton,7.5,44.0,56.0,45.0,55.0,140.5,71.0,29.0,66.0,34.0,12.0,88.0,22.0,78.0,1.0,5.0,False,False,1,,,,,,,,,,,,
2026-03-26T00:31:54.519304-04:00,vsin_dk,draftkings,cbb,cbb_20260325_nevada_auburn,Mar 25,,Nevada,Auburn,8.5,54.0,46.0,50.0,50.0,151.5,73.0,27.0,67.0,33.0,15.0,85.0,44.0,56.0,4.0,6.0,False,False,1,,,,,,,,,,,,
2026-03-26T00:31:54.519304-04:00,vsin_dk,draftkings,cbb,cbb_20260326_texas_purdue,Mar 26,,Texas,Purdue,7.5,50.0,50.0,36.0,64.0,147.5,73.0,27.0,64.0,36.0,24.0,76.0,44.0,56.0,14.0,9.0,False,False,1,,,,,,,,,,,,
2026-03-26T00:31:54.519304-04:00,vsin_dk,draftkings,cbb,cbb_20260326_iowa_nebraska,Mar 26,,Iowa,Nebraska,1.5,34.0,66.0,29.0,71.0,131.5,77.0,23.0,71.0,29.0,44.0,56.0,52.0,48.0,5.0,6.0,False,False,1,,,,,,,,,,,,
2026-03-26T00:31:54.519304-04:00,vsin_dk,draftkings,cbb,cbb_20260326_arkansas_arizona,Mar 26,,Arkansas,Arizona,7.5,58.0,42.0,52.0,48.0,165.5,56.0,44.0,71.0,29.0,28.0,72.0,64.0,36.0,6.0,15.0,False,True,1,,,,,,,,,,,,
2026-03-26T00:31:54.519304-04:00,vsin_dk,draftkings,cbb,cbb_20260326_illinois_houston,Mar 26,,Illinois,Houston,2.5,36.0,64.0,46.0,54.0,139.5,83.0,17.0,75.0,25.0,30.0,70.0,40.0,60.0,10.0,8.0,False,False,1,,,,,,,,,,,,
2026-03-26T00:31:54.519304-04:00,vsin_dk,draftkings,cbb,cbb_20260327_st_johns_duke,Mar 27,,ST Johns,Duke,6.5,65.0,35.0,70.0,30.0,141.5,66.0,34.0,53.0,47.0,35.0,65.0,61.0,39.0,5.0,13.0,False,False,1,,,,,,,,,,,,
2026-03-26T00:31:54.519304-04:00,vsin_dk,draftkings,cbb,cbb_20260327_alabama_michigan,Mar 27,,Alabama,Michigan,9.5,58.0,42.0,53.0,47.0,172.5,33.0,67.0,21.0,79.0,19.0,81.0,47.0,53.0,5.0,12.0,False,False,1,,,,,,,,,,,,
2026-03-26T00:31:54.519304-04:00,vsin_dk,draftkings,cbb,cbb_20260327_michigan_st_connecticut,Mar 27,,Michigan ST,Connecticut,1.5,53.0,47.0,48.0,52.0,134.5,74.0,26.0,38.0,62.0,54.0,46.0,65.0,35.0,5.0,36.0,False,True,1,,,,,,,,,,,,
2026-03-26T00:31:54.519304-04:00,vsin_dk,draftkings,cbb,cbb_20260327_tennessee_iowa_st,Mar 27,,Tennessee,Iowa ST,3.5,36.0,64.0,37.0,63.0,138.5,84.0,16.0,82.0,18.0,25.0,75.0,51.0,49.0,1.0,2.0,False,False,1,,,,,,,,,,,,
2026-03-26T00:31:54.519304-04:00,vsin_dk,draftkings,cbb,cbb_20260401_oklahoma_colorado,Apr 1,,Oklahoma,Colorado,-6.5,82.0,18.0,85.0,15.0,163.5,76.0,24.0,92.0,8.0,81.0,19.0,16.0,84.0,3.0,16.0,False,True,1,,,,,,,,,,,,
2026-03-26T00:31:54.519304-04:00,vsin_dk,draftkings,cbb,cbb_20260401_baylor_minnesota,Apr 1,,Baylor,Minnesota,-3.5,75.0,25.0,95.0,5.0,148.5,44.0,56.0,52.0,48.0,,,,,20.0,8.0,True,False,1,,,,,,,,,,,,
2026-03-26T00:31:54.519304-04:00,vsin_dk,draftkings,cbb,cbb_20260402_stanford_west_virginia,Apr 2,,Stanford,West Virginia,-1.5,41.0,59.0,65.0,35.0,134.5,96.0,4.0,100.0,,41.0,59.0,26.0,74.0,24.0,4.0,True,False,1,,,,,,,,,,,,
2026-03-26T00:31:54.519304-04:00,vsin_dk,draftkings,cbb,cbb_20260402_rutgers_creighton,Apr 2,,Rutgers,Creighton,3.5,20.0,80.0,20.0,80.0,150.5,89.0,11.0,98.0,2.0,49.0,51.0,98.0,2.0,0.0,9.0,False,False,1,,,,,,,,,,,,
2026-03-26T00:32:14.713009-04:00,vsin_circa,circa,cbb,cbb_20260325_illinois_st_dayton,Mar 25,,Illinois ST,Dayton,7.5,45.0,55.0,70.0,30.0,141.0,39.0,61.0,47.0,53.0,50.0,50.0,17.0,83.0,25.0,8.0,True,False,1,,,,,,,,,,,,
2026-03-26T00:32:14.713009-04:00,vsin_circa,circa,cbb,cbb_20260325_nevada_auburn,Mar 25,,Nevada,Auburn,8.5,74.0,26.0,69.0,31.0,151.5,74.0,26.0,40.0,60.0,64.0,36.0,9.0,91.0,5.0,34.0,False,True,1,,,,,,,,,,,,
2026-03-26T00:32:14.713009-04:00,vsin_circa,circa,cbb,cbb_20260326_texas_purdue,Mar 26,,Texas,Purdue,7.5,47.0,53.0,39.0,61.0,148.0,45.0,55.0,13.0,87.0,42.0,58.0,6.0,94.0,8.0,32.0,False,True,1,,,,,,,,,,,,
2026-03-26T00:32:14.713009-04:00,vsin_circa,circa,cbb,cbb_20260326_iowa_nebraska,Mar 26,,Iowa,Nebraska,1.5,25.0,75.0,75.0,25.0,131.5,44.0,56.0,23.0,77.0,48.0,52.0,59.0,41.0,50.0,21.0,True,True,1,,,,,,,,,,,,
2026-03-26T00:32:14.713009-04:00,vsin_circa,circa,cbb,cbb_20260326_arkansas_arizona,Mar 26,,Arkansas,Arizona,7.5,54.0,46.0,56.0,44.0,166.0,90.0,10.0,76.0,24.0,57.0,43.0,2.0,98.0,2.0,14.0,False,False,1,,,,,,,,,,,,
2026-03-26T00:32:14.713009-04:00,vsin_circa,circa,cbb,cbb_20260326_illinois_houston,Mar 26,,Illinois,Houston,2.5,32.0,68.0,39.0,61.0,140.0,83.0,17.0,96.0,4.0,52.0,48.0,61.0,39.0,7.0,13.0,False,False,1,,,,,,,,,,,,
2026-03-26T00:32:14.713009-04:00,vsin_circa,circa,cbb,cbb_20260327_st_johns_duke,Mar 27,,ST Johns,Duke,7.0,81.0,19.0,61.0,39.0,141.0,20.0,80.0,1.0,99.0,50.0,50.0,95.0,5.0,20.0,19.0,True,True,1,,,,,,,,,,,,
2026-03-26T00:32:14.713009-04:00,vsin_circa,circa,cbb,cbb_20260327_alabama_michigan,Mar 27,,Alabama,Michigan,9.0,63.0,37.0,82.0,18.0,172.5,36.0,64.0,24.0,76.0,27.0,73.0,19.0,81.0,19.0,12.0,True,False,1,,,,,,,,,,,,
2026-03-26T00:32:14.713009-04:00,vsin_circa,circa,cbb,cbb_20260327_michigan_st_connecticut,Mar 27,,Michigan ST,Connecticut,1.5,48.0,52.0,17.0,83.0,134.5,50.0,50.0,10.0,90.0,50.0,50.0,89.0,11.0,31.0,40.0,True,True,1,,,,,,,,,,,,
2026-03-26T00:32:14.713009-04:00,vsin_circa,circa,cbb,cbb_20260327_tennessee_iowa_st,Mar 27,,Tennessee,Iowa ST,4.0,23.0,77.0,30.0,70.0,138.5,50.0,50.0,29.0,71.0,13.0,88.0,,100.0,7.0,21.0,False,True,1,,,,,,,,,,,,
2026-03-26T01:01:55.105993-04:00,vsin_dk,draftkings,cbb,cbb_20260325_illinois_st_dayton,Mar 25,,Illinois ST,Dayton,7.5,44.0,56.0,45.0,55.0,140.5,71.0,29.0,66.0,34.0,12.0,88.0,22.0,78.0,1.0,5.0,False,False,1,,,,,,,,,,,,
2026-03-26T01:01:55.105993-04:00,vsin_dk,draftkings,cbb,cbb_20260325_nevada_auburn,Mar 25,,Nevada,Auburn,8.5,54.0,46.0,50.0,50.0,151.5,73.0,27.0,67.0,33.0,15.0,85.0,44.0,56.0,4.0,6.0,False,False,1,,,,,,,,,,,,
2026-03-26T01:01:55.105993-04:00,vsin_dk,draftkings,cbb,cbb_20260326_texas_purdue,Mar 26,,Texas,Purdue,7.5,50.0,50.0,36.0,64.0,147.5,73.0,27.0,64.0,36.0,24.0,76.0,45.0,55.0,14.0,9.0,False,False,1,,,,,,,,,,,,
2026-03-26T01:01:55.105993-04:00,vsin_dk,draftkings,cbb,cbb_20260326_iowa_nebraska,Mar 26,,Iowa,Nebraska,1.5,34.0,66.0,29.0,71.0,131.5,76.0,24.0,71.0,29.0,44.0,56.0,51.0,49.0,5.0,5.0,False,False,1,,,,,,,,,,,,
2026-03-26T01:01:55.105993-04:00,vsin_dk,draftkings,cbb,cbb_20260326_arkansas_arizona,Mar 26,,Arkansas,Arizona,7.5,58.0,42.0,52.0,48.0,165.5,56.0,44.0,61.0,39.0,28.0,72.0,64.0,36.0,6.0,5.0,False,False,1,,,,,,,,,,,,
2026-03-26T01:01:55.105993-04:00,vsin_dk,draftkings,cbb,cbb_20260326_illinois_houston,Mar 26,,Illinois,Houston,2.5,36.0,64.0,48.0,52.0,139.5,83.0,17.0,75.0,25.0,30.0,70.0,41.0,59.0,12.0,8.0,False,False,1,,,,,,,,,,,,
2026-03-26T01:01:55.105993-04:00,vsin_dk,draftkings,cbb,cbb_20260327_st_johns_duke,Mar 27,,ST Johns,Duke,6.5,65.0,35.0,71.0,29.0,141.5,66.0,34.0,53.0,47.0,35.0,65.0,61.0,39.0,6.0,13.0,False,False,1,,,,,,,,,,,,
2026-03-26T01:01:55.105993-04:00,vsin_dk,draftkings,cbb,cbb_20260327_alabama_michigan,Mar 27,,Alabama,Michigan,9.5,58.0,42.0,53.0,47.0,172.5,33.0,67.0,21.0,79.0,19.0,81.0,47.0,53.0,5.0,12.0,False,False,1,,,,,,,,,,,,
2026-03-26T01:01:55.105993-04:00,vsin_dk,draftkings,cbb,cbb_20260327_michigan_st_connecticut,Mar 27,,Michigan ST,Connecticut,1.5,53.0,47.0,48.0,52.0,134.5,74.0,26.0,38.0,62.0,54.0,46.0,65.0,35.0,5.0,36.0,False,True,1,,,,,,,,,,,,
2026-03-26T01:01:55.105993-04:00,vsin_dk,draftkings,cbb,cbb_20260327_tennessee_iowa_st,Mar 27,,Tennessee,Iowa ST,3.5,36.0,64.0,37.0,63.0,138.5,84.0,16.0,82.0,18.0,25.0,75.0,51.0,49.0,1.0,2.0,False,False,1,,,,,,,,,,,,
2026-03-26T01:01:55.105993-04:00,vsin_dk,draftkings,cbb,cbb_20260401_oklahoma_colorado,Apr 1,,Oklahoma,Colorado,-6.5,83.0,17.0,85.0,15.0,163.5,76.0,24.0,92.0,8.0,81.0,19.0,16.0,84.0,2.0,16.0,False,True,1,,,,,,,,,,,,
2026-03-26T01:01:55.105993-04:00,vsin_dk,draftkings,cbb,cbb_20260401_baylor_minnesota,Apr 1,,Baylor,Minnesota,-3.5,74.0,26.0,98.0,2.0,148.5,44.0,56.0,52.0,48.0,,,,,24.0,8.0,True,False,1,,,,,,,,,,,,
2026-03-26T01:01:55.105993-04:00,vsin_dk,draftkings,cbb,cbb_20260402_stanford_west_virginia,Apr 2,,Stanford,West Virginia,-1.5,41.0,59.0,65.0,35.0,134.5,96.0,4.0,100.0,,42.0,58.0,26.0,74.0,24.0,4.0,True,False,1,,,,,,,,,,,,
2026-03-26T01:01:55.105993-04:00,vsin_dk,draftkings,cbb,cbb_20260402_rutgers_creighton,Apr 2,,Rutgers,Creighton,3.5,21.0,79.0,20.0,80.0,150.5,89.0,11.0,98.0,2.0,49.0,51.0,98.0,2.0,1.0,9.0,False,False,1,,,,,,,,,,,,
2026-03-26T01:02:13.287106-04:00,vsin_circa,circa,cbb,cbb_20260325_illinois_st_dayton,Mar 25,,Illinois ST,Dayton,7.5,45.0,55.0,70.0,30.0,141.0,39.0,61.0,47.0,53.0,50.0,50.0,17.0,83.0,25.0,8.0,True,False,1,,,,,,,,,,,,
2026-03-26T01:02:13.287106-04:00,vsin_circa,circa,cbb,cbb_20260325_nevada_auburn,Mar 25,,Nevada,Auburn,8.5,74.0,26.0,69.0,31.0,151.5,74.0,26.0,40.0,60.0,64.0,36.0,9.0,91.0,5.0,34.0,False,True,1,,,,,,,,,,,,
2026-03-26T01:02:13.287106-04:00,vsin_circa,circa,cbb,cbb_20260326_texas_purdue,Mar 26,,Texas,Purdue,7.5,47.0,53.0,39.0,61.0,148.0,45.0,55.0,13.0,87.0,42.0,58.0,6.0,94.0,8.0,32.0,False,True,1,,,,,,,,,,,,
2026-03-26T01:02:13.287106-04:00,vsin_circa,circa,cbb,cbb_20260326_iowa_nebraska,Mar 26,,Iowa,Nebraska,1.5,25.0,75.0,75.0,25.0,131.5,44.0,56.0,23.0,77.0,48.0,52.0,59.0,41.0,50.0,21.0,True,True,1,,,,,,,,,,,,
2026-03-26T01:02:13.287106-04:00,vsin_circa,circa,cbb,cbb_20260326_arkansas_arizona,Mar 26,,Arkansas,Arizona,7.5,54.0,46.0,56.0,44.0,166.0,90.0,10.0,76.0,24.0,57.0,43.0,2.0,98.0,2.0,14.0,False,False,1,,,,,,,,,,,,
2026-03-26T01:02:13.287106-04:00,vsin_circa,circa,cbb,cbb_20260326_illinois_houston,Mar 26,,Illinois,Houston,2.5,32.0,68.0,39.0,61.0,140.0,83.0,17.0,96.0,4.0,52.0,48.0,61.0,39.0,7.0,13.0,False,False,1,,,,,,,,,,,,
2026-03-26T01:02:13.287106-04:00,vsin_circa,circa,cbb,cbb_20260327_st_johns_duke,Mar 27,,ST Johns,Duke,7.0,81.0,19.0,61.0,39.0,141.0,20.0,80.0,1.0,99.0,50.0,50.0,95.0,5.0,20.0,19.0,True,True,1,,,,,,,,,,,,
2026-03-26T01:02:13.287106-04:00,vsin_circa,circa,cbb,cbb_20260327_alabama_michigan,Mar 27,,Alabama,Michigan,9.0,63.0,37.0,82.0,18.0,172.5,36.0,64.0,24.0,76.0,27.0,73.0,19.0,81.0,19.0,12.0,True,False,1,,,,,,,,,,,,
2026-03-26T01:02:13.287106-04:00,vsin_circa,circa,cbb,cbb_20260327_michigan_st_connecticut,Mar 27,,Michigan ST,Connecticut,1.5,48.0,52.0,17.0,83.0,134.5,50.0,50.0,10.0,90.0,50.0,50.0,89.0,11.0,31.0,40.0,True,True,1,,,,,,,,,,,,
2026-03-26T01:02:13.287106-04:00,vsin_circa,circa,cbb,cbb_20260327_tennessee_iowa_st,Mar 27,,Tennessee,Iowa ST,4.0,23.0,77.0,30.0,70.0,138.5,50.0,50.0,29.0,71.0,13.0,88.0,,100.0,7.0,21.0,False,True,1,,,,,,,,,,,,
2026-03-26T01:31:49.501534-04:00,vsin_dk,draftkings,cbb,cbb_20260325_illinois_st_dayton,Mar 25,,Illinois ST,Dayton,7.5,44.0,56.0,45.0,55.0,140.5,71.0,29.0,66.0,34.0,12.0,88.0,22.0,78.0,1.0,5.0,False,False,1,,,,,,,,,,,,
2026-03-26T01:31:49.501534-04:00,vsin_dk,draftkings,cbb,cbb_20260325_nevada_auburn,Mar 25,,Nevada,Auburn,8.5,54.0,46.0,50.0,50.0,151.5,73.0,27.0,67.0,33.0,15.0,85.0,44.0,56.0,4.0,6.0,False,False,1,,,,,,,,,,,,
2026-03-26T01:31:49.501534-04:00,vsin_dk,draftkings,cbb,cbb_20260326_texas_purdue,Mar 26,,Texas,Purdue,7.5,50.0,50.0,36.0,64.0,147.5,73.0,27.0,64.0,36.0,24.0,76.0,45.0,55.0,14.0,9.0,False,False,1,,,,,,,,,,,,
2026-03-26T01:31:49.501534-04:00,vsin_dk,draftkings,cbb,cbb_20260326_iowa_nebraska,Mar 26,,Iowa,Nebraska,1.5,34.0,66.0,29.0,71.0,131.5,76.0,24.0,71.0,29.0,44.0,56.0,51.0,49.0,5.0,5.0,False,False,1,,,,,,,,,,,,
2026-03-26T01:31:49.501534-04:00,vsin_dk,draftkings,cbb,cbb_20260326_arkansas_arizona,Mar 26,,Arkansas,Arizona,7.5,58.0,42.0,52.0,48.0,165.5,56.0,44.0,61.0,39.0,28.0,72.0,64.0,36.0,6.0,5.0,False,False,1,,,,,,,,,,,,
2026-03-26T01:31:49.501534-04:00,vsin_dk,draftkings,cbb,cbb_20260326_illinois_houston,Mar 26,,Illinois,Houston,2.5,36.0,64.0,47.0,53.0,139.5,83.0,17.0,75.0,25.0,30.0,70.0,41.0,59.0,11.0,8.0,False,False,1,,,,,,,,,,,,
2026-03-26T01:31:49.501534-04:00,vsin_dk,draftkings,cbb,cbb_20260327_st_johns_duke,Mar 27,,ST Johns,Duke,6.5,65.0,35.0,70.0,30.0,141.5,66.0,34.0,53.0,47.0,35.0,65.0,61.0,39.0,5.0,13.0,False,False,1,,,,,,,,,,,,
2026-03-26T01:31:49.501534-04:00,vsin_dk,draftkings,cbb,cbb_20260327_alabama_michigan,Mar 27,,Alabama,Michigan,9.5,58.0,42.0,53.0,47.0,172.5,34.0,66.0,21.0,79.0,19.0,81.0,47.0,53.0,5.0,13.0,False,False,1,,,,,,,,,,,,
2026-03-26T01:31:49.501534-04:00,vsin_dk,draftkings,cbb,cbb_20260327_michigan_st_connecticut,Mar 27,,Michigan ST,Connecticut,1.5,53.0,47.0,48.0,52.0,134.5,74.0,26.0,38.0,62.0,54.0,46.0,65.0,35.0,5.0,36.0,False,True,1,,,,,,,,,,,,
2026-03-26T01:31:49.501534-04:00,vsin_dk,draftkings,cbb,cbb_20260327_tennessee_iowa_st,Mar 27,,Tennessee,Iowa ST,3.5,36.0,64.0,37.0,63.0,138.5,84.0,16.0,82.0,18.0,25.0,75.0,51.0,49.0,1.0,2.0,False,False,1,,,,,,,,,,,,
2026-03-26T01:31:49.501534-04:00,vsin_dk,draftkings,cbb,cbb_20260401_oklahoma_colorado,Apr 1,,Oklahoma,Colorado,-6.5,83.0,17.0,85.0,15.0,163.5,76.0,24.0,92.0,8.0,82.0,18.0,16.0,84.0,2.0,16.0,False,True,1,,,,,,,,,,,,
2026-03-26T01:31:49.501534-04:00,vsin_dk,draftkings,cbb,cbb_20260401_baylor_minnesota,Apr 1,,Baylor,Minnesota,-3.5,74.0,26.0,98.0,2.0,148.5,44.0,56.0,52.0,48.0,,,,,24.0,8.0,True,False,1,,,,,,,,,,,,
2026-03-26T01:31:49.501534-04:00,vsin_dk,draftkings,cbb,cbb_20260402_stanford_west_virginia,Apr 2,,Stanford,West Virginia,-1.5,41.0,59.0,65.0,35.0,134.5,96.0,4.0,100.0,,43.0,57.0,26.0,74.0,24.0,4.0,True,False,1,,,,,,,,,,,,
2026-03-26T01:31:49.501534-04:00,vsin_dk,draftkings,cbb,cbb_20260402_rutgers_creighton,Apr 2,,Rutgers,Creighton,3.5,21.0,79.0,20.0,80.0,150.5,89.0,11.0,98.0,2.0,49.0,51.0,98.0,2.0,1.0,9.0,False,False,1,,,,,,,,,,,,
2026-03-26T01:32:10.009245-04:00,vsin_circa,circa,cbb,cbb_20260325_illinois_st_dayton,Mar 25,,Illinois ST,Dayton,7.5,45.0,55.0,70.0,30.0,141.0,39.0,61.0,47.0,53.0,50.0,50.0,17.0,83.0,25.0,8.0,True,False,1,,,,,,,,,,,,
